page,child,route,roles,line,control_type,control_label,handler_kind,parents,status
src/pages/beneficiary/SupportPage.tsx,,,,63,Button,"إعادة المحاولة",onClick,"MessageSquare>Loader2>AlertCircle",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,38,Button,"مراجعة المصروفات",parent-Trigger,"XCircle>AlertDescription>Link",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,52,Button,"إدارة العقود",parent-Trigger,"AlertDescription>Link>AlertTriangle",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,69,Button,"مراجعة الفواتير المتأخرة",parent-Trigger,"Link>LinkIcon>TrendingDown",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,84,Button,"مراجعة الطلبات",parent-Trigger,"AlertDescription>Link>Banknote",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,101,Button,"إدارة العقود",parent-Trigger,"AlertDescription>Link>Clock",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,115,Button,"ضبط النسب",parent-Trigger,"AlertDescription>Link>AlertTriangle",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,37,Link,"مراجعة المصروفات",Link-to,"Alert>XCircle>AlertDescription",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,51,Link,"إدارة العقود",Link-to,"XCircle>AlertDescription>AlertTriangle",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,68,Link,"مراجعة الفواتير المتأخرة",Link-to,"AlertDescription>LinkIcon>TrendingDown",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,83,Link,"مراجعة الطلبات",Link-to,"TrendingDown>AlertDescription>Banknote",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,100,Link,"إدارة العقود",Link-to,"Banknote>AlertDescription>Clock",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/DashboardAlerts.tsx,/dashboard,ADMIN_ROLES,114,Link,"ضبط النسب",Link-to,"Clock>AlertDescription>AlertTriangle",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/QuickActionsCard.tsx,/dashboard,ADMIN_ROLES,49,Button,"",asChild,"Wallet>QuickAction",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/QuickActionsCard.tsx,/dashboard,ADMIN_ROLES,50,Link,"",Link-to,"Wallet>QuickAction>Button",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/RecentContractsCard.tsx,/dashboard,ADMIN_ROLES,74,Button,"عرض الكل",parent-Trigger,"Skeleton>Skeleton>Link",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/widgets/RecentContractsCard.tsx,/dashboard,ADMIN_ROLES,73,Link,"عرض الكل",Link-to,"Skeleton>Skeleton>Skeleton",OK
src/pages/dashboard/AdminDashboard.tsx,src/components/dashboard/kpi/DashboardStatsGrid.tsx,/dashboard,ADMIN_ROLES,22,Link,"{('yoyChange' in stat) && stat.yoyChange !== undefined && ( )}",Link-to,"StatsGridSkeleton",OK
src/pages/dashboard/ExpensesPage.tsx,src/components/dashboard/AdvancedFiltersBar.tsx,/dashboard/expenses,ADMIN_ROLES,35,Button,"مسح الكل",onClick,"AdvancedFiltersBarProps>FilterState>Filter",OK
src/pages/beneficiary/BeneficiaryDashboard.tsx,src/components/beneficiary/dashboard/BeneficiaryNotificationsCard.tsx,/beneficiary,BENEFICIARY_ROLES,44,Button,"عرض الكل",onClick,"Card>CardHeader>Bell",OK
src/pages/beneficiary/BeneficiaryDashboard.tsx,src/components/beneficiary/dashboard/BeneficiaryAdvanceCard.tsx,/beneficiary,BENEFICIARY_ROLES,78,Link,"عرض السجل الكامل",Link-to,"AdvanceRequestDialog>Banknote",OK
src/pages/beneficiary/MySharePage.tsx,src/components/beneficiary/my-share/AdvanceRequestDialog.tsx,/beneficiary/my-share,BENEFICIARY_ROLES,85,Button,"طلب سلفة",disabled,"Dialog>DialogTrigger",OK
src/pages/beneficiary/MySharePage.tsx,src/components/beneficiary/my-share/AdvanceRequestDialog.tsx,/beneficiary/my-share,BENEFICIARY_ROLES,172,Button,"إلغاء",onClick,"Input>Textarea>DialogFooter",OK
src/pages/beneficiary/MySharePage.tsx,src/components/beneficiary/my-share/AdvanceRequestDialog.tsx,/beneficiary/my-share,BENEFICIARY_ROLES,173,Button,"إرسال الطلب",onClick,"Input>Textarea>DialogFooter",OK
