path,layer,loc,imports,exports,is_barrel,has_supabase,has_toast,has_console,has_default_export
components/contracts/contract-form/ContractRentalModeSection.tsx,component,102,6,1,false,false,false,false,true
components/contracts/index.ts,component,21,0,17,true,false,false,false,false
components/contracts/payment-invoices/PaymentInvoiceDesktopTable.tsx,component,133,9,1,false,false,false,false,true
components/contracts/payment-invoices/PaymentInvoiceMobileCards.tsx,component,82,7,1,false,false,false,false,true
components/contracts/payment-invoices/PaymentInvoiceSummaryCards.tsx,component,97,4,1,false,false,false,false,true
components/contracts/payment-invoices/PaymentInvoiceToolbar.tsx,component,96,8,1,false,false,false,false,true
components/contracts/payment-invoices/paymentStatusBadge.tsx,component,27,2,2,false,false,false,false,true
components/dashboard/AdvancedFiltersBar.tsx,component,90,6,1,false,false,false,false,true
components/dashboard/AiAssistant.tsx,component,178,8,1,false,false,false,false,true
components/dashboard/DashboardLazySection.tsx,component,44,3,1,false,false,false,false,true
components/dashboard/charts/CollectionHeatmap.tsx,component,148,7,1,false,false,false,false,true
components/dashboard/charts/DashboardCharts.tsx,component,30,2,1,false,false,false,false,true
components/dashboard/charts/DashboardChartsInner.tsx,component,85,5,1,false,false,false,false,true
components/dashboard/charts/FinancialChartsInner.tsx,component,126,4,1,false,false,false,false,true
components/dashboard/charts/IncomeMonthlyChart.tsx,component,121,7,1,false,false,false,false,true
components/dashboard/charts/IncomeMonthlyChartInner.tsx,component,41,3,1,false,false,false,false,true
components/dashboard/kpi/CollectionSummaryCard.tsx,component,108,8,1,false,false,false,false,true
components/dashboard/kpi/CollectionSummaryChart.tsx,component,64,2,1,false,false,false,false,true
components/dashboard/kpi/DashboardKpiPanel.tsx,component,62,7,2,false,false,false,false,true
components/dashboard/kpi/DashboardStatsGrid.tsx,component,46,6,2,false,false,false,false,true
components/dashboard/kpi/YearComparisonCard.tsx,component,68,7,1,false,false,false,false,true
components/dashboard/kpi/YoYBadge.tsx,component,45,2,1,false,false,false,false,true
components/dashboard/views/AccountantDashboardView.tsx,component,102,10,1,false,false,false,false,true
components/dashboard/views/PagePerformanceCard.tsx,component,147,6,2,false,false,false,false,true
components/dashboard/views/accountant/MetricCard.tsx,component,39,3,1,false,false,false,false,true
components/dashboard/views/accountant/MonthlyCollectionCard.tsx,component,88,7,1,false,false,false,false,true
components/dashboard/views/accountant/OverdueInvoicesCard.tsx,component,77,8,1,false,false,false,false,true
components/dashboard/widgets/DashboardAlerts.tsx,component,125,7,1,false,false,false,false,true
components/dashboard/widgets/FiscalYearWidget.tsx,component,127,5,1,false,false,false,false,true
components/dashboard/widgets/PendingActionsTable.tsx,component,166,8,1,false,false,false,false,true
components/dashboard/widgets/QuickActionsCard.tsx,component,59,7,1,false,false,false,false,true
components/dashboard/widgets/RecentContractsCard.tsx,component,151,8,1,false,false,false,false,true
components/email-monitor/EmailDlqRetryCard.tsx,component,59,4,1,false,false,false,false,false
components/email-monitor/EmailFiltersCard.tsx,component,107,5,1,false,false,false,false,false
components/email-monitor/EmailLogsTable.tsx,component,81,4,1,false,false,false,false,false
components/email-monitor/EmailMonitorPrimitives.tsx,component,57,4,3,false,false,false,false,false
components/expenses/ExpenseAttachments.tsx,component,69,7,1,false,false,false,false,true
components/expenses/ExpenseBudgetBar.tsx,component,96,14,1,false,false,false,false,true
components/expenses/ExpenseFormDialog.tsx,component,140,11,1,false,false,false,false,true
components/expenses/ExpensePieChartInner.tsx,component,58,5,1,false,false,false,false,true
components/expenses/ExpenseSummaryCards.tsx,component,77,6,1,false,false,false,false,true
components/expenses/ExpensesDesktopTable.tsx,component,107,9,1,false,false,false,false,true
components/expenses/ExpensesMobileCards.tsx,component,72,8,1,false,false,false,false,true
components/expenses/ExpensesPieChart.tsx,component,53,6,1,false,false,false,false,true
components/expenses/__tests__/ExpenseFormDialog.regression.test.tsx,component,48,4,0,false,false,false,false,false
components/expenses/index.ts,component,12,0,7,true,false,false,false,false
components/expenses/vouchers/SignaturePad.tsx,component,127,3,1,false,false,false,false,true
components/expenses/vouchers/VoidVoucherDialog.tsx,component,65,6,1,false,false,true,false,true
components/expenses/vouchers/VoucherFormDialog.tsx,component,122,6,1,false,false,true,false,true
components/expenses/vouchers/VoucherFormFields.tsx,component,89,7,2,false,false,false,false,true
components/expenses/vouchers/VoucherList.tsx,component,181,12,1,false,false,true,false,true
components/income/IncomeDesktopTable.tsx,component,66,6,1,false,false,false,false,true
components/income/IncomeFormDialog.tsx,component,115,9,2,false,false,false,false,true
components/income/IncomeMobileCards.tsx,component,47,6,1,false,false,false,false,true
components/income/IncomeSummaryCards.tsx,component,57,4,1,false,false,false,false,true
components/income/IncomeTableRow.tsx,component,38,7,1,false,false,false,false,true
components/income/index.ts,component,6,0,5,false,false,false,false,false
components/invoices/CreateInvoiceFromTemplate.tsx,component,182,10,1,false,false,false,false,true
components/invoices/InvoiceGridView.test.tsx,component,101,4,0,false,false,false,false,false
components/invoices/InvoiceGridView.tsx,component,187,13,2,false,false,false,false,true
components/invoices/InvoicePreviewDialog.test.tsx,component,67,4,0,false,false,false,false,false
components/invoices/InvoicePreviewDialog.tsx,component,134,8,2,false,false,false,false,true
components/invoices/InvoiceStepsGuide.tsx,component,131,6,1,false,false,false,false,true
components/invoices/InvoiceSummaryCards.tsx,component,136,6,1,false,false,false,false,true
components/invoices/InvoiceTableRow.tsx,component,67,8,1,false,false,false,false,true
components/invoices/InvoiceTemplates.tsx,component,9,0,4,false,false,false,false,false
components/invoices/InvoiceUploadDialog.tsx,component,124,7,1,false,false,false,false,true
components/invoices/InvoiceViewer.tsx,component,129,6,1,false,false,false,false,true
components/invoices/InvoicesDesktopTable.tsx,component,62,3,1,false,false,false,false,true
components/invoices/InvoicesPageDialogs.tsx,component,78,4,1,false,false,false,false,true
components/invoices/InvoicesViewDesktopTable.tsx,component,91,7,1,false,false,false,false,true
components/invoices/InvoicesViewMobileCards.tsx,component,80,7,1,false,false,false,false,true
components/invoices/create-invoice/InvoiceFormFields.tsx,component,103,6,1,false,false,false,false,true
components/invoices/create-invoice/InvoiceItemsTable.tsx,component,177,6,1,false,false,false,false,true
components/invoices/index.ts,component,17,0,13,false,false,false,false,false
components/invoices/invoiceTemplateUtils.ts,component,71,4,7,false,false,false,false,false
components/invoices/templates/ProfessionalHeader.tsx,component,51,3,1,false,false,false,false,false
components/invoices/templates/ProfessionalTemplate.tsx,component,115,6,1,false,false,false,false,false
components/invoices/templates/ProfessionalTotals.tsx,component,144,3,1,false,false,false,false,false
components/invoices/templates/SharedComponents.tsx,component,22,3,2,false,false,false,false,false
components/invoices/templates/SimplifiedTemplate.tsx,component,81,3,1,false,false,false,false,false
components/invoices/templates/TemplateSelector.tsx,component,19,2,1,false,false,false,false,false
components/landing/LandingCTA.tsx,component,37,3,1,false,false,false,false,true
components/landing/LandingFeatures.tsx,component,61,3,1,false,false,false,false,true
components/landing/LandingFooter.tsx,component,37,3,1,false,false,false,false,true
components/landing/LandingHero.tsx,component,99,4,1,false,false,false,false,true
components/layout/BottomNav.test.tsx,component,114,5,0,false,false,false,false,false
components/layout/BottomNav.tsx,component,93,10,1,false,false,false,false,true
components/layout/DashboardLayout.test.tsx,component,108,6,0,false,false,false,false,false
components/layout/DashboardLayout.tsx,component,178,14,1,false,false,false,false,true
components/layout/DesktopTopBar.tsx,component,72,11,1,false,false,false,false,true
components/layout/FiscalYearSelector.test.tsx,component,45,4,0,false,false,false,false,false
components/layout/FiscalYearSelector.tsx,component,51,4,1,false,false,false,false,true
components/layout/IdleTimeoutManager.test.tsx,component,137,3,0,false,false,false,false,false
components/layout/IdleTimeoutManager.tsx,component,94,8,1,false,false,false,false,true
components/layout/MobileHeader.tsx,component,53,7,1,false,false,false,false,true
components/layout/NavLink.test.tsx,component,52,4,0,false,false,false,false,false
components/layout/NavLink.tsx,component,29,3,1,false,false,false,false,false
components/layout/PageHeaderCard.test.tsx,component,53,4,0,false,false,false,false,false
components/layout/PageHeaderCard.tsx,component,59,3,1,false,false,false,false,true
components/layout/Sidebar.test.tsx,component,92,7,0,false,false,false,false,false
components/layout/Sidebar.tsx,component,55,5,1,false,false,false,false,true
components/layout/WaqfInfoBar.test.tsx,component,103,1,0,false,false,false,false,false
components/layout/WaqfInfoBar.tsx,component,116,8,1,false,false,false,false,true
components/layout/index.ts,component,33,0,12,false,false,false,false,false
components/layout/sidebar/SidebarBrand.tsx,component,52,3,1,false,false,false,false,false
components/layout/sidebar/SidebarNavList.tsx,component,90,5,3,false,false,false,false,false
components/layout/sidebar/SidebarUserFooter.tsx,component,74,5,1,false,false,false,false,false
components/messages/BeneficiaryConversationsList.tsx,component,62,6,1,false,false,false,false,true
components/messages/ChatArea.tsx,component,114,7,1,false,false,false,false,true
components/messages/ConversationList.tsx,component,62,7,1,false,false,false,false,true
components/messages/MessageDialogs.tsx,component,43,4,1,false,false,false,false,true
components/messages/MessageThread.tsx,component,104,8,1,false,false,false,false,true
components/messages/MessagesStatsCards.tsx,component,41,3,1,false,false,false,false,true
components/messages/NewConversationDialog.tsx,component,55,5,1,false,false,false,false,true
components/notifications/NotificationBell.test.tsx,component,81,6,0,false,false,false,false,false
components/notifications/NotificationBell.tsx,component,158,10,1,false,false,false,false,true
components/notifications/NotificationFiltersBar.tsx,component,117,7,1,false,false,false,false,true
components/notifications/NotificationStatsCards.tsx,component,43,1,1,false,false,false,false,true
components/notifications/NotificationsList.tsx,component,118,9,1,false,false,false,false,true
components/notifications/index.ts,component,12,0,5,true,false,false,false,false
components/notifications/notificationConstants.ts,component,23,1,2,false,false,false,false,false
components/properties/PropertyCard.tsx,component,145,7,1,false,false,false,false,true
components/properties/PropertyDeleteDialog.tsx,component,24,1,1,false,false,false,false,true
components/properties/PropertyFormDialog.tsx,component,68,6,1,false,false,false,false,true
components/properties/PropertySummaryCards.tsx,component,142,7,1,false,false,false,false,true
components/properties/PropertyUnitsDialog.tsx,component,164,17,1,false,false,false,false,true
components/properties/index.ts,component,9,0,5,true,false,false,false,false
components/properties/units/DeleteUnitDialog.tsx,component,44,2,1,false,false,false,false,true
components/properties/units/DesktopUnitsTable.tsx,component,148,11,1,false,false,false,false,true
components/properties/units/MobileSummaryCard.tsx,component,52,6,1,false,false,false,false,true
components/properties/units/MobileUnitCard.tsx,component,92,9,1,false,false,false,false,true
components/properties/units/UnitFormCard.tsx,component,110,8,2,false,false,false,false,true
components/properties/units/WholePropertyTab.tsx,component,167,12,2,false,false,false,false,true
components/properties/units/constants.ts,component,21,0,5,false,false,false,false,false
components/properties/units/helpers.ts,component,86,2,5,false,false,false,false,false
components/pwa/ChangelogDialog.tsx,component,68,3,2,false,false,false,false,true
components/pwa/PwaUpdateNotifier.tsx,component,86,6,1,false,false,false,false,true
components/pwa/SwUpdateBanner.test.tsx,component,116,3,0,false,false,false,false,false
components/pwa/SwUpdateBanner.tsx,component,103,5,1,false,false,false,false,true
components/pwa/__tests__/no-forced-reload.test.tsx,component,64,3,0,false,false,false,false,false
components/reports/AnnualDisclosureTable.tsx,component,176,3,1,false,false,false,false,true
components/reports/BalanceSheetReport.tsx,component,72,5,1,false,false,false,false,true
components/reports/BeneficiaryDistributionTable.tsx,component,78,4,1,false,false,false,false,true
components/reports/CashFlowChartInner.tsx,component,56,3,1,false,false,false,false,true
components/reports/CashFlowReport.tsx,component,122,8,1,false,false,false,false,true
components/reports/CashFlowTable.tsx,component,100,2,1,false,false,false,false,true
components/reports/ChangeIndicator.tsx,component,28,1,2,false,false,false,false,true
components/reports/HistoricalComparisonChartInner.tsx,component,54,4,1,false,false,false,false,true
components/reports/MonthlyPerformanceChartsInner.tsx,component,94,5,1,false,false,false,false,true
components/reports/MonthlyPerformanceReport.test.tsx,component,84,3,0,false,false,false,false,false
components/reports/MonthlyPerformanceReport.tsx,component,175,7,1,false,false,false,false,true
components/reports/OverdueMobileCard.tsx,component,49,4,1,false,false,false,false,true
components/reports/OverdueRow.tsx,component,36,5,2,false,false,false,false,true
components/reports/OverdueTenantsReport.tsx,component,151,11,1,false,false,false,false,true
components/reports/PropertyPerformanceTable.tsx,component,139,5,1,false,false,false,false,true
components/reports/ReportsChartsInner.tsx,component,64,4,1,false,false,false,false,true
components/reports/ReportsSummaryCards.tsx,component,43,3,1,false,false,false,false,true
components/reports/SeverityBadge.tsx,component,20,1,1,false,false,false,false,true
components/reports/YearOverYearComparison.test.tsx,component,87,4,0,false,false,false,false,false
components/reports/YearOverYearComparison.tsx,component,82,8,1,false,false,false,false,true
components/reports/YoYChangeCards.tsx,component,75,3,1,false,false,false,false,true
components/reports/YoYChartsSection.tsx,component,16,2,1,false,false,false,false,true
components/reports/YoYChartsSectionInner.tsx,component,140,6,2,false,false,false,false,true
components/reports/YoYComparisonTable.tsx,component,137,4,1,false,false,false,false,true
components/reports/YoYSummaryCards.tsx,component,117,6,1,false,false,false,false,true
components/reports/YoYYearSelectors.tsx,component,61,5,1,false,false,false,false,true
components/reports/ZakatEstimationReport.tsx,component,186,7,1,false,false,false,false,true
components/reports/balance-sheet/BalanceSheetSections.tsx,component,146,2,4,false,false,false,false,false
components/reports/index.ts,component,24,0,8,true,false,false,false,false
components/reports/overdueTypes.ts,component,14,0,1,false,false,false,false,false
components/search/GlobalSearch.test.tsx,component,72,3,0,false,false,false,false,false
components/search/GlobalSearch.tsx,component,113,7,1,false,false,false,false,true
